date,open,high,low,close,volume
2020-01-01,100.2367,101.0083,99.7565,100.1051,354156
2020-01-02,99.9939,100.884,99.7814,100.4094,512634
2020-01-03,100.4604,101.5107,100.3193,100.6943,731232
2020-01-04,100.7256,101.2855,100.4315,100.7179,192120
2020-01-05,100.5888,101.5722,100.5301,100.7736,604008
2020-01-06,100.92,101.6851,100.5194,100.7947,892017
2020-01-07,100.9715,101.9472,100.6563,100.9816,431872
2020-01-08,100.895,101.6066,100.6142,101.0741,396870
2020-01-09,101.2322,101.7738,101.1698,101.2884,204972
2020-01-10,101.2935,102.3022,100.8907,101.109,435596
2020-01-11,101.0941,102.0697,100.8043,101.4477,861447
2020-01-12,101.585,102.1282,101.3703,101.5345,693255
2020-01-13,101.5553,102.5134,101.2505,101.7396,705621
2020-01-14,101.7692,102.2279,101.6846,101.8205,493829
2020-01-15,101.9596,102.9447,101.6615,101.8645,892244
2020-01-16,101.9826,102.8565,101.7698,102.0371,763757
2020-01-17,102.1191,103.0008,101.8309,102.2653,761475
2020-01-18,102.1364,102.7801,101.9711,102.3365,528641
2020-01-19,102.1917,103.2833,102.0766,102.4154,350986
2020-01-20,102.5192,103.583,102.2548,102.6231,296565
2020-01-21,102.5376,103.4465,102.4693,102.5918,632838
2020-01-22,102.6055,103.5596,102.31,102.4613,528636
2020-01-23,102.3623,102.9054,102.1783,102.6245,610301
2020-01-24,102.6075,103.4377,102.3181,102.6239,770976
2020-01-25,102.5058,103.4212,102.261,102.4309,288401
2020-01-26,102.5812,103.1771,102.1933,102.4083,324263
2020-01-27,102.3144,102.7094,102.0616,102.4389,708998
2020-01-28,102.4276,103.0771,102.106,102.3579,608554
2020-01-29,102.3406,102.7439,101.8853,102.2312,660000
2020-01-30,102.3421,102.5735,102.1566,102.339,563711
2020-01-31,102.2082,103.5522,101.9906,102.5791,490971
2020-02-01,102.576,103.5345,102.5389,102.6458,654346
2020-02-02,102.6265,103.3602,102.5327,102.6339,207421
2020-02-03,102.6829,103.617,102.5703,102.7958,388025
2020-02-04,102.8395,103.7686,102.7392,103.0092,447601
2020-02-05,102.9662,103.6536,102.7643,103.0659,281314
2020-02-06,103.0881,103.5598,102.9914,103.2532,823408
2020-02-07,103.2183,103.9641,102.9991,103.5179,631569
2020-02-08,103.5615,104.2159,103.2568,103.5893,433874
2020-02-09,103.5798,104.2693,103.5114,103.5665,778230
