date,open,high,low,close,volume
2015-01-01,100.0951,100.2618,99.8119,99.9797,1027140
2015-01-02,100.1599,100.5721,99.7513,99.9775,934564
2015-01-03,100.2798,100.5526,99.915,100.0079,203072
2015-01-04,99.8738,100.207,99.8487,99.9694,546974
2015-01-05,99.5468,100.3276,99.3006,99.5762,552264
2015-01-06,99.5914,99.8307,99.2262,99.4275,599509
2015-01-07,99.5086,100.9178,99.2527,99.4863,473444
2015-01-08,99.5655,100.1694,99.3703,99.546,255894
2015-01-09,99.8495,100.6975,99.4232,99.617,498068
2015-01-10,99.7647,100.0043,99.6024,99.7319,610088
2015-01-11,99.9733,100.0827,99.5991,99.7346,608415
2015-01-12,99.7864,101.092,99.5993,99.6862,419779
2015-01-13,99.8978,100.1909,99.5306,99.6178,899466
2015-01-14,99.7699,101.2512,99.6727,99.7468,1372010
2015-01-15,99.7464,100.5417,99.3804,99.6062,1037075
2015-01-16,99.6222,101.0736,99.401,99.5643,1090716
2015-01-17,99.4035,100.2729,99.3082,99.5572,1385232
2015-01-18,99.5596,100.0439,99.5109,99.5711,968244
2015-01-19,99.7703,100.569,99.4768,99.5469,1343058
2015-01-20,99.6156,100.6889,99.5122,99.5963,319557
2015-01-21,99.7219,100.4852,99.6739,99.7204,1394667
2015-01-22,99.5529,100.9966,99.4884,99.7232,1363467
2015-01-23,99.5924,100.7947,99.3993,99.7754,1364179
2015-01-24,99.5898,100.8956,99.564,99.8052,859119
2015-01-25,99.8364,100.7003,99.5761,99.7955,1339845
2015-01-26,99.7309,100.2395,99.6777,99.8331,1321030
2015-01-27,99.8401,100.3177,99.7019,99.9063,832596
2015-01-28,99.8401,100.5582,99.7654,100.125,1369979
2015-01-29,100.072,100.6193,99.8509,99.9935,676479
2015-01-30,100.1079,101.4175,99.8957,99.962,1243938
2015-01-31,99.8537,100.4118,99.8318,99.9755,661889
2015-02-01,99.8281,101.321,99.7493,99.9133,1309132
2015-02-02,99.4596,100.7797,99.418,99.9992,1299355
2015-02-03,100.1989,100.5693,99.9462,100.0093,831396
2015-02-04,100.077,101.216,99.8788,100.0909,291934
2015-02-05,100.0624,100.5242,99.9778,100.1256,938516
2015-02-06,100.0659,100.6584,99.8966,100.1244,534675
2015-02-07,100.267,100.4281,99.9044,100.0891,1183250
2015-02-08,99.9935,100.9876,99.956,100.054,567842
2015-02-09,100.1103,101.3539,99.8712,99.9098,675500
2015-02-10,99.9427,100.688,99.7937,100.0141,979270
2015-02-11,100.1786,100.3978,99.7917,99.9074,765856
2015-02-12,99.7142,100.3496,99.6549,99.854,306205
2015-02-13,99.7194,100.9306,99.6266,99.741,842284
2015-02-14,99.7378,101.1149,99.5567,99.7973,962704
2015-02-15,99.9293,101.0592,99.5263,99.6461,1172873
2015-02-16,99.5838,100.9776,99.2748,99.4966,935506
2015-02-17,99.5691,100.5645,99.2998,99.3554,246501
2015-02-18,99.3513,100.7457,99.2036,99.3326,1458778
2015-02-19,99.1337,100.3541,98.9594,99.2709,937031
2015-02-20,99.3431,99.6864,98.95,99.1319,1406716
2015-02-21,99.2374,99.6152,99.0977,99.2203,1012937
2015-02-22,99.4694,100.0429,99.2236,99.2444,790834
2015-02-23,99.599,100.7456,99.1767,99.2671,845003
2015-02-24,99.0894,100.3825,99.003,99.2352,1115715
2015-02-25,99.5034,100.4736,99.0236,99.2003,1241167
2015-02-26,98.9268,100.5666,98.7083,99.2847,1251192
2015-02-27,99.3231,99.6948,99.1274,99.3555,1229031
2015-02-28,99.1681,99.9214,99.0124,99.3156,525794
2015-03-01,99.0739,100.2748,98.8719,99.6679,601586
2015-03-02,99.819,99.9371,99.605,99.7775,573761
2015-03-03,99.9801,100.4893,99.6101,99.6679,1080937
2015-03-04,99.5229,100.7906,99.3529,99.4161,1184217
2015-03-05,99.3048,100.9216,99.2638,99.8663,1405182
